priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status,fda_application_record_found,fda_label_record_found,clinical_trial_record_found,regulatory_evidence_category,clinical_evidence_level,manual_regulatory_review_required,canonical_smiles_pubchem,isomeric_smiles_pubchem,inchikey_pubchem,molecular_formula_pubchem,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions,pubchem_safety_annotation_found,hazard_statement_codes,severe_hazard_codes,high_concern_hazard_text_flag,pubchem_safety_annotation_text_chars,pains_evaluated,pains_flag,pains_filter_matches,safety_risk_score,safety_evidence_layers_n,safety_data_completeness,hard_safety_flag,translational_nonclinical_flag,safety_screening_recommendation,safety_screening_reasons,chembl_molecule_found,molecule_chembl_id,chembl_pref_name,chembl_molecule_type,chembl_max_phase,chembl_match_score,chembl_activity_record_n,chembl_target_n,chembl_target_ids,chembl_assay_types,chembl_standard_types,chembl_median_pchembl,chembl_max_pchembl,pubchem_target_accession_n,pubchem_target_gene_id_n,pubchem_target_support_note,target_evidence_strength_score,target_support_category
85,2,Tier 2 — Consistent reversal,3,BRD-K60476892,YC-1,-4.049239,-81.12747,-50.677475,3,3,0,-45.284728,-50.677475,-81.12747,-90.0,95,True,False,True,False,True,False,5712,3-(5'-Hydroxymethyl-2'-furyl)-1-benzylindazole,C19H16N2O2,304.3,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,"InChI=1S/C19H16N2O2/c22-13-15-10-11-18(23-15)19-16-8-4-5-9-17(16)21(20-19)12-14-6-2-1-3-7-14/h1-11,22H,12-13H2",OQQVFCKUDYMWGV-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,OQQVFCKUDYMWGV-UHFFFAOYSA-N,C19H16N2O2,1472.0,160.0,1050.0,163.0,1210.0,0.1322314049586777,263.0,36.0,10951.0 | 110813108.0 | 1387.0 | 1544.0 | 1559.0 | 1576.0 | 2033.0 | 2034.0 | 2671.0 | 28989.0 | 2977.0 | 2982.0 | 2983.0 | 29994.0 | 3091.0 | 3783750.0 | 4088.0 | 4790.0 | 51053.0 | 54737.0 | 5999.0 | 6401.0 | 6622.0 | 6850.0 | 7468.0 | 856395.0 | 886474.0,2O23_A | 2O23_B | AAG24257 | AAH33210 | AAI07878 | AAL68976 | AAP88778 | ABC94591 | ACA62796 | B45705 | BAA89212 | CAD53472 | CAQ07474 | CDO16358 | CDO16711 | DAA06693 | NP_000441 | NP_000752 | NP_000762 | NP_001120700 | NP_001273728 | NP_005253 | NP_005604 | NP_056979 | NP_059488 | NP_059990 | NP_214877 | O75343 | O96028 | P00784 | P33402 | P37840 | P43405 | Q02108 | Q02153 | Q09472 | Q16665 | Q92793 | Q99814,False,,,False,0,True,False,,5,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,multiple active cytotoxicity/viability assays | elevated PubChem assay promiscuity,True,CHEMBL5838159,,,,5.0,1,1,CHEMBL1892,B,Ki,9.52,9.52,39,27,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
93,2,Tier 2 — Consistent reversal,3,BRD-K95885906,quercetagetin,-17.259623,-51.11901,-48.827953,3,3,0,-39.068862,-48.827953,-51.11901,-90.0,103,True,False,True,False,True,False,5281680,Quercetagetin,C15H10O8,318.23,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O,"InChI=1S/C15H10O8/c16-6-2-1-5(3-7(6)17)15-14(22)13(21)10-9(23-15)4-8(18)11(19)12(10)20/h1-4,16-20,22H",ZVOLCUVKHLEPEV-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O,ZVOLCUVKHLEPEV-UHFFFAOYSA-N,C15H10O8,68.0,25.0,8.0,1.0,33.0,0.7575757575757576,0.0,0.0,11040.0 | 26419.0 | 281510.0 | 5292.0 | 9212.0,3V3V_A | P0DTD1 | P11309 | P17599 | Q7ZJM1 | Q91Y86 | Q96GD4 | Q9P1W9,False,,,False,0,True,True,catechol_A(92),4,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,high PubChem assay promiscuity | PAINS structural alert (assay-interference risk),True,CHEMBL413552,QUERCETAGETIN,Small molecule,,105.0,18,6,CHEMBL1795174 | CHEMBL2147 | CHEMBL3471 | CHEMBL3817719 | CHEMBL4523582 | CHEMBL612545,B,IC50 | Ki,6.265,7.0,8,5,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
102,2,Tier 2 — Consistent reversal,3,BRD-K84895041,BMY-45778,-27.080841,-47.96483,-47.346344,3,3,0,-40.797338,-47.346344,-47.96483,-90.0,112,True,False,True,False,True,False,127861,"(3-(4-(4,5-Diphenyl-2-oxazolyl)-5-oxazolyl)phenoxy)acetic acid",C26H18N2O5,438.4,C1=CC=C(C=C1)C2=C(OC(=N2)C3=C(OC=N3)C4=CC(=CC=C4)OCC(=O)O)C5=CC=CC=C5,C1=CC=C(C=C1)C2=C(OC(=N2)C3=C(OC=N3)C4=CC(=CC=C4)OCC(=O)O)C5=CC=CC=C5,"InChI=1S/C26H18N2O5/c29-21(30)15-31-20-13-7-12-19(14-20)24-23(27-16-32-24)26-28-22(17-8-3-1-4-9-17)25(33-26)18-10-5-2-6-11-18/h1-14,16H,15H2,(H,29,30)",DSRSEEYZGWTODH-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC=C(C=C1)C2=C(OC(=N2)C3=C(OC=N3)C4=CC(=CC=C4)OCC(=O)O)C5=CC=CC=C5,C1=CC=C(C=C1)C2=C(OC(=N2)C3=C(OC=N3)C4=CC(=CC=C4)OCC(=O)O)C5=CC=CC=C5,DSRSEEYZGWTODH-UHFFFAOYSA-N,C26H18N2O5,171.0,14.0,106.0,19.0,120.0,0.1166666666666666,6.0,0.0,1544.0 | 1565.0 | 5739.0 | 7398.0,2O23_A | 2O23_B | 3I06_A | AAH18745 | NP_000097 | NP_000752 | NP_000951 | NP_001020332,False,,,False,0,True,False,,1,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,elevated PubChem assay promiscuity,True,CHEMBL125569,,Small molecule,,5.0,9,6,CHEMBL1293255 | CHEMBL289 | CHEMBL3563 | CHEMBL372 | CHEMBL4159 | CHEMBL4296519,A | F,AC50 | EC50 | IC50 | Potency,5.6,8.27,8,4,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,4,STRONG_TARGET_SUPPORT
33,2,Tier 2 — Consistent reversal,3,BRD-K22009844,phenprobamate,-1.585624,-70.626915,-74.363754,3,3,0,-48.858764,-70.626915,-74.363754,-90.0,43,True,False,True,False,True,False,4770,Phenprobamate,C10H13NO2,179.22,C1=CC=C(C=C1)CCCOC(=O)N,C1=CC=C(C=C1)CCCOC(=O)N,"InChI=1S/C10H13NO2/c11-10(12)13-8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H2,11,12)",CAMYKONBWHRPDD-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC=C(C=C1)CCCOC(=O)N,C1=CC=C(C=C1)CCCOC(=O)N,CAMYKONBWHRPDD-UHFFFAOYSA-N,C10H13NO2,1038.0,8.0,994.0,13.0,1002.0,0.0079840319361277,87.0,0.0,1544.0 | 5335.0,AAI07878 | AAI36467 | EAW99313,True,,,False,3153,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,,True,CHEMBL1079576,PHENPROBAMATE,Small molecule,2.0,195.0,1,1,CHEMBL1293235,F,Potency,7.1,7.1,3,2,PUBCHEM_BIOASSAY_TARGET_PRESENT,3,STRONG_TARGET_SUPPORT
59,2,Tier 2 — Consistent reversal,3,BRD-K02607075,tubocurarine,-2.713178,-75.77972,-58.916065,3,3,0,-45.802988,-58.916065,-75.77972,-90.0,69,True,False,True,False,True,False,6000,Tubocurarine,C37H41N2O6+,609.7,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,"InChI=1S/C37H40N2O6/c1-38-14-12-24-19-32(42-4)33-21-27(24)28(38)16-22-6-9-26(10-7-22)44-37-35-25(20-34(43-5)36(37)41)13-15-39(2,3)29(35)17-23-8-11-30(40)31(18-23)45-33/h6-11,18-21,28-29H,12-17H2,1-5H3,(H-,40,41)/p+1/t28-,29+/m0/s1",JFJZZMVDLULRGK-URLMMPGGSA-O,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,True,True,False,FDA_APPLICATION_AND_LABEL_EVIDENCE,HIGH_REGULATORY_EVIDENCE,False,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,JFJZZMVDLULRGK-URLMMPGGSA-O,C37H41N2O6+,206.0,17.0,143.0,2.0,160.0,0.10625,3.0,0.0,10257.0 | 353174.0 | 3780.0 | 3781.0 | 3782.0 | 5335.0 | 54262.0 | 55244.0,A9XFY4 | AAI36467 | NP_001191016 | NP_002239 | NP_062187 | NP_740721 | NP_851321 | O15439 | Q96FL8,True,,,False,5460,True,False,,1,4,GOOD,False,False,CAUTION_MANUAL_REVIEW,elevated PubChem assay promiscuity,True,CHEMBL339427,TUBOCURARINE,Small molecule,4.0,195.0,6,4,CHEMBL1743126 | CHEMBL1743128 | CHEMBL2366408 | CHEMBL612545,A | B,IC50 | Kd | Ki,5.455,5.73,9,8,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,3,STRONG_TARGET_SUPPORT
71,2,Tier 2 — Consistent reversal,3,BRD-K08996725,zolantidine,-0.493305,-54.92739,-74.507706,3,3,0,-43.309467,-54.92739,-74.507706,-90.0,81,True,False,True,False,True,False,91769,N-(3-(3-(1-Piperidinylmethyl)phenoxy)propyl)-2-benzothiazolamine,C22H27N3OS,381.5,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,"InChI=1S/C22H27N3OS/c1-4-13-25(14-5-1)17-18-8-6-9-19(16-18)26-15-7-12-23-22-24-20-10-2-3-11-21(20)27-22/h2-3,6,8-11,16H,1,4-5,7,12-15,17H2,(H,23,24)",KUBONGDXTUOOLM-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,KUBONGDXTUOOLM-UHFFFAOYSA-N,C22H27N3OS,431.0,32.0,332.0,53.0,364.0,0.0879120879120879,6.0,1.0,1544.0 | 1565.0 | 1576.0 | 2475.0 | 25229.0 | 2593.0 | 27232.0 | 3176.0 | 4837.0 | 5409.0,AAI07878 | B45705 | NP_000097 | NP_000752 | NP_001020332 | NP_004949 | NP_059488 | NP_542951 | NP_652928 | P11086 | P21964 | P40261 | P50135 | Q14353 | Q14749,False,,,False,0,True,False,,2,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,active cytotoxicity/viability assay signal | elevated PubChem assay promiscuity,True,CHEMBL419296,ZOLANTIDINE,Small molecule,,105.0,8,5,CHEMBL276 | CHEMBL340 | CHEMBL4040 | CHEMBL4096 | CHEMBL4261,A | F,AC50 | Potency,5.1,5.4,15,10,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,3,STRONG_TARGET_SUPPORT
74,2,Tier 2 — Consistent reversal,3,BRD-A77349281,RK-682,-14.212652,-63.022438,-54.574436,3,3,0,-43.936509,-54.574436,-63.022438,-90.0,84,True,False,True,False,True,False,54678922,(5R)-3-Hexadecanoyl-4-hydroxy-5-(hydroxymethyl)furan-2(5H)-one,C21H36O5,368.5,CCCCCCCCCCCCCCCC(=O)C1=C(C(OC1=O)CO)O,CCCCCCCCCCCCCCCC(=O)C1=C([C@H](OC1=O)CO)O,"InChI=1S/C21H36O5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17(23)19-20(24)18(16-22)26-21(19)25/h18,22,24H,2-16H2,1H3/t18-/m1/s1",KZTSLHQKWLYYAC-GOSISDBHSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CCCCCCCCCCCCCCCC(=O)C1=C(C(OC1=O)CO)O,CCCCCCCCCCCCCCCC(=O)C1=C([C@H](OC1=O)CO)O,KZTSLHQKWLYYAC-GOSISDBHSA-N,C21H36O5,40.0,23.0,0.0,3.0,23.0,1.0,0.0,0.0,5770.0 | 5771.0,P17706 | P18031 | P30306,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,high PubChem assay promiscuity,True,CHEMBL426373,,Small molecule,,5.0,15,3,CHEMBL2723 | CHEMBL335 | CHEMBL3807,B,IC50,5.35,8.35,3,2,PUBCHEM_BIOASSAY_TARGET_PRESENT,3,STRONG_TARGET_SUPPORT
77,2,Tier 2 — Consistent reversal,3,BRD-K04170657,psoromic-acid,-29.686283,-55.383244,-53.66938,3,3,0,-46.246302,-53.66938,-55.383244,-90.0,87,True,False,True,False,True,False,23725,Psoromic Acid,C18H14O8,358.3,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=CC(=C3C)OC)C(=O)O)C=O)O,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=CC(=C3C)OC)C(=O)O)C=O)O,"InChI=1S/C18H14O8/c1-7-4-11(20)10(6-19)15-13(7)18(23)26-14-8(2)12(24-3)5-9(17(21)22)16(14)25-15/h4-6,20H,1-3H3,(H,21,22)",FUCWJKJZOHOLEO-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=CC(=C3C)OC)C(=O)O)C=O)O,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=CC(=C3C)OC)C(=O)O)C=O)O,FUCWJKJZOHOLEO-UHFFFAOYSA-N,C18H14O8,505.0,13.0,458.0,5.0,471.0,0.0276008492569002,13.0,2.0,11168.0 | 2671.0 | 2744.0 | 5888.0 | 811941.0,AAC83551 | AAF25870 | AAH38507 | CAG38796 | NP_005253 | Q7ZJM1 | XP_001348533,False,,,False,0,True,False,,3,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,repeated active cytotoxicity/viability assays,True,CHEMBL176570,PSOROMIC ACID,Small molecule,,5.0,1,1,CHEMBL3471,B,IC50,5.28,5.28,7,5,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,3,STRONG_TARGET_SUPPORT
80,2,Tier 2 — Consistent reversal,3,BRD-K67439147,SIB-1893,-63.677235,-52.95844,-41.334583,3,3,0,-52.656753,-52.95844,-63.677235,-90.0,90,True,False,True,False,True,False,5311432,Sib 1893,C14H13N,195.26,CC1=NC(=CC=C1)C=CC2=CC=CC=C2,CC1=NC(=CC=C1)/C=C/C2=CC=CC=C2,"InChI=1S/C14H13N/c1-12-6-5-9-14(15-12)11-10-13-7-3-2-4-8-13/h2-11H,1H3/b11-10+",SISOFUCTXZKSOQ-ZHACJKMWSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC1=NC(=CC=C1)C=CC2=CC=CC=C2,CC1=NC(=CC=C1)/C=C/C2=CC=CC=C2,SISOFUCTXZKSOQ-ZHACJKMWSA-N,C14H13N,606.0,25.0,515.0,44.0,540.0,0.0462962962962962,70.0,0.0,10013.0 | 116160065.0 | 181263.0 | 20586.0 | 2101.0 | 24418.0 | 28989.0 | 2915.0 | 4864.0 | 79915.0 | 9367.0,AAH15051 | ADZ17378 | NP_000262 | NP_001024547 | NP_001137303 | NP_001167549 | NP_001243743 | NP_004242 | P08659 | P31424 | P41594 | Q9BV86 | Q9UBN7,True,H315 | H319 | H335,,False,6614,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,,True,CHEMBL88612,,Small molecule,,5.0,10,7,CHEMBL1865 | CHEMBL2564 | CHEMBL3227 | CHEMBL5150 | CHEMBL5162 | CHEMBL5567 | CHEMBL612545,B | F,IC50 | Ki | Potency,5.779999999999999,6.54,13,11,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,3,STRONG_TARGET_SUPPORT
1,1,Tier 1 — Strong consensus,5,BRD-K99447003,enalaprilat,-2.249479,-94.18632,-95.63698,3,3,2,-64.02426,-94.18632,-95.63698,-90.0,1,True,False,True,True,True,True,5462501,Enalaprilat,C18H24N2O5,348.4,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,"InChI=1S/C18H24N2O5/c1-12(16(21)20-11-5-8-15(20)18(24)25)19-14(17(22)23)10-9-13-6-3-2-4-7-13/h2-4,6-7,12,14-15,19H,5,8-11H2,1H3,(H,22,23)(H,24,25)/t12-,14-,15-/m0/s1",LZFZMUMEGBBDTC-QEJZJMRPSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,LZFZMUMEGBBDTC-QEJZJMRPSA-N,C18H24N2O5,1000.0,31.0,769.0,20.0,800.0,0.03875,139.0,0.0,100009274.0 | 10242.0 | 11421.0 | 1636.0 | 2101.0 | 22066.0 | 24310.0 | 302668.0,AAC05178 | ADZ17378 | NP_001171528 | NP_005823 | P09470 | P12821 | P12822 | P47820 | Q5EGZ1,True,H302,,False,5170,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,,True,CHEMBL3989406,ENALAPRILAT,Small molecule,4.0,195.0,0,0,,,,,,9,8,MULTIPLE_PUBCHEM_BIOASSAY_TARGETS,2,MODERATE_TARGET_SUPPORT
2,1,Tier 1 — Strong consensus,5,BRD-A81541225,oligomycin-a,-31.808538,-93.9972,-97.53348,3,3,2,-74.446406,-93.9972,-97.53348,-90.0,2,True,False,True,True,True,True,52947716,Oligomycin A,C45H74O11,791.1,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C,CC[C@@H]\1CC[C@H]2[C@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C,"InChI=1S/C45H74O11/c1-12-34-17-15-13-14-16-27(4)42(51)44(11,53)43(52)32(9)40(50)31(8)39(49)30(7)38(48)26(3)18-21-37(47)54-41-29(6)35(20-19-34)55-45(33(41)10)23-22-25(2)36(56-45)24-28(5)46/h13-15,17-18,21,25-36,38,40-42,46,48,50-51,53H,12,16,19-20,22-24H2,1-11H3/b14-13+,17-15+,21-18+/t25-,26-,27+,28+,29+,30-,31-,32-,33-,34-,35-,36-,38+,40+,41+,42-,44+,45-/m0/s1",MNULEGDCPYONBU-AWJDAWNUSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C,CC[C@@H]\1CC[C@H]2[C@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C,MNULEGDCPYONBU-AWJDAWNUSA-N,C45H74O11,46.0,8.0,0.0,0.0,8.0,1.0,6.0,5.0,10599.0 | 28234.0,Q9NPD5 | Q9Y6L6,True,H302,,False,5168,True,False,,4,3,GOOD,False,False,CAUTION_MANUAL_REVIEW,multiple active cytotoxicity/viability assays,True,CHEMBL1255855,OLIGOMYCIN,Small molecule,,65.0,8,6,CHEMBL1697668 | CHEMBL1743121 | CHEMBL367 | CHEMBL385 | CHEMBL394 | CHEMBL614793,A | F | T,IC50 | Ki,6.48,6.96,2,2,PUBCHEM_BIOASSAY_TARGET_PRESENT,2,MODERATE_TARGET_SUPPORT
5,1,Tier 1 — Strong consensus,4,BRD-K45252063,clofibrate,0.0,-95.06695,-93.31658,3,2,2,-62.79451,-93.31658,-95.06695,-90.0,5,False,False,True,True,True,True,2796,Clofibrate,C12H15ClO3,242.7,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",KNHUKKLJHYUCFP-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,True,False,True,FDA_APPLICATION_RECORD_FOUND,MODERATE_REGULATORY_EVIDENCE,True,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,KNHUKKLJHYUCFP-UHFFFAOYSA-N,C12H15ClO3,,,,,,,,,,,True,H302 | H315 | H318 | H335,,False,15639,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,,True,CHEMBL565,CLOFIBRATE,Small molecule,4.0,195.0,13,6,CHEMBL1963 | CHEMBL2026 | CHEMBL276 | CHEMBL340 | CHEMBL5738 | CHEMBL612545,A | B | F,Kd | Ki | Potency,5.16,8.3,0,0,,2,MODERATE_TARGET_SUPPORT
