priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status
14,2,Tier 2 — Consistent reversal,4,BRD-A48237631,mitomycin-c,-68.170520,-14.945600,-90.274840,3,3,1,-57.796987,-68.170520,-90.274840,-90.000000,14,True,False,True,False,True,True,5746.000000,Mitomycin C,C15H18N4O5,334.33,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,"InChI=1S/C15H18N4O5/c1-5-9(16)12(21)8-6(4-24-14(17)22)15(23-2)13-7(18-13)3-19(15)10(8)11(5)20/h6-7,13,18H,3-4,16H2,1-2H3,(H2,17,22)/t6-,7+,13+,15-/m1/s1",NWIBSHFKIJFRCO-WUDYKRTCSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
15,2,Tier 2 — Consistent reversal,4,BRD-A30977374,nifedipine,-7.082452,-63.485985,-92.370224,3,3,1,-54.312887,-63.485985,-92.370224,-90.000000,15,True,False,True,False,True,True,4485.000000,Nifedipine,C17H18N2O6,346.3,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3",HYIMSNHJOBLJNT-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
17,2,Tier 2 — Consistent reversal,4,BRD-A82238138,budesonide,-2.043693,-51.701840,-93.930910,3,3,1,-49.225481,-51.701840,-93.930910,-90.000000,17,True,False,True,False,True,True,5281004.000000,Budesonide,C25H34O6,430.5,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,"InChI=1S/C25H34O6/c1-4-5-21-30-20-11-17-16-7-6-14-10-15(27)8-9-23(14,2)22(16)18(28)12-24(17,3)25(20,31-21)19(29)13-26/h8-10,16-18,20-22,26,28H,4-7,11-13H2,1-3H3/t16-,17-,18-,20+,21?,22+,23-,24-,25+/m0/s1",VOVIALXJUBGFJZ-KWVAZRHASA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
18,2,Tier 2 — Consistent reversal,4,BRD-K55930204,phenytoin,-37.665825,-91.621540,-43.434790,3,3,1,-57.574052,-43.434790,-91.621540,-90.000000,18,True,False,True,True,True,False,1775.000000,Phenytoin,C15H12N2O2,252.27,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,"InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)",CXOFVDLJLONNDW-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
22,2,Tier 2 — Consistent reversal,3,BRD-K52662033,lidocaine,-18.033361,-84.468930,-85.993546,3,3,0,-62.831946,-84.468930,-85.993546,-90.000000,32,True,False,True,False,True,False,3676.000000,Lidocaine,C14H22N2O,234.34,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,"InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)",NNJVILVZKWQKPM-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
25,2,Tier 2 — Consistent reversal,3,BRD-K94353609,fluocinolone,-77.690400,-79.709700,-63.414906,3,3,0,-73.605002,-77.690400,-79.709700,-90.000000,35,True,False,True,False,True,False,91488.000000,Fluocinolone,C21H26F2O6,412.4,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CC(C4=CC(=O)C=CC43C)F)F)O,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O,"InChI=1S/C21H26F2O6/c1-18-4-3-10(25)5-13(18)14(22)6-12-11-7-15(26)21(29,17(28)9-24)19(11,2)8-16(27)20(12,18)23/h3-5,11-12,14-16,24,26-27,29H,6-9H2,1-2H3/t11-,12-,14-,15+,16-,18-,19-,20-,21-/m0/s1",UUOUOERPONYGOS-CLCRDYEYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
27,2,Tier 2 — Consistent reversal,3,BRD-K56343971,vemurafenib,-0.458069,-75.634640,-75.796540,3,3,0,-50.629750,-75.634640,-75.796540,-90.000000,37,True,False,True,False,True,False,42611257.000000,Vemurafenib,C23H18ClF2N3O3S,489.9,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,"InChI=1S/C23H18ClF2N3O3S/c1-2-9-33(31,32)29-19-8-7-18(25)20(21(19)26)22(30)17-12-28-23-16(17)10-14(11-27-23)13-3-5-15(24)6-4-13/h3-8,10-12,29H,2,9H2,1H3,(H,27,28)",GPXBXXGIAQBQNI-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
28,2,Tier 2 — Consistent reversal,3,BRD-A36010170,amcinonide,-4.827343,-74.570600,-80.699104,3,3,0,-53.365682,-74.570600,-80.699104,-90.000000,38,True,False,True,False,True,False,443958.000000,Amcinonide,C28H35FO7,502.6,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,"InChI=1S/C28H35FO7/c1-16(30)34-15-22(33)28-23(35-26(36-28)9-4-5-10-26)13-20-19-7-6-17-12-18(31)8-11-24(17,2)27(19,29)21(32)14-25(20,28)3/h8,11-12,19-21,23,32H,4-7,9-10,13-15H2,1-3H3/t19-,20-,21-,23+,24-,25-,27-,28+/m0/s1",ILKJAFIWWBXGDU-MOGDOJJUSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
31,2,Tier 2 — Consistent reversal,3,BRD-A22380646,pantoprazole,-7.723269,-83.766430,-71.785070,3,3,0,-54.424923,-71.785070,-83.766430,-90.000000,41,True,False,True,False,True,False,4679.000000,Pantoprazole,C16H15F2N3O4S,383.4,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,"InChI=1S/C16H15F2N3O4S/c1-23-13-5-6-19-12(14(13)24-2)8-26(22)16-20-10-4-3-9(25-15(17)18)7-11(10)21-16/h3-7,15H,8H2,1-2H3,(H,20,21)",IQPSEEYGBUAQFF-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
32,2,Tier 2 — Consistent reversal,3,BRD-K48923948,BMS-641988,-1.585624,-76.761620,-71.082730,3,3,0,-49.809991,-71.082730,-76.761620,-90.000000,42,True,False,True,False,True,False,24768935.000000,Bms-641988,C20H20F3N3O5S,471.5,CCS(=O)(=O)NC1CC2(C3C(C1(O2)C)C(=O)N(C3=O)C4=CC(=C(C=C4)C#N)C(F)(F)F)C,CCS(=O)(=O)N[C@@H]1C[C@@]2([C@@H]3[C@H]([C@]1(O2)C)C(=O)N(C3=O)C4=CC(=C(C=C4)C#N)C(F)(F)F)C,"InChI=1S/C20H20F3N3O5S/c1-4-32(29,30)25-13-8-18(2)14-15(19(13,3)31-18)17(28)26(16(14)27)11-6-5-10(9-24)12(7-11)20(21,22)23/h5-7,13-15,25H,4,8H2,1-3H3/t13-,14-,15+,18-,19+/m1/s1",HYNANJUKEMCYEQ-HIGHGGLBSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
33,2,Tier 2 — Consistent reversal,3,BRD-K22009844,phenprobamate,-1.585624,-70.626915,-74.363754,3,3,0,-48.858764,-70.626915,-74.363754,-90.000000,43,True,False,True,False,True,False,4770.000000,Phenprobamate,C10H13NO2,179.22,C1=CC=C(C=C1)CCCOC(=O)N,C1=CC=C(C=C1)CCCOC(=O)N,"InChI=1S/C10H13NO2/c11-10(12)13-8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H2,11,12)",CAMYKONBWHRPDD-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
34,2,Tier 2 — Consistent reversal,3,BRD-K85603128,resorcinol,-1.127555,-80.631060,-70.198425,3,3,0,-50.652347,-70.198425,-80.631060,-90.000000,44,True,False,True,False,True,False,5054.000000,Resorcinol,C6H6O2,110.11,C1=CC(=CC(=C1)O)O,C1=CC(=CC(=C1)O)O,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
36,2,Tier 2 — Consistent reversal,3,BRD-K16508793,diazepam,-18.388740,-68.466090,-76.202010,3,3,0,-54.352280,-68.466090,-76.202010,-90.000000,46,True,False,True,False,True,False,3016.000000,Diazepam,C16H13ClN2O,284.74,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,"InChI=1S/C16H13ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h2-9H,10H2,1H3",AAOVKJBEBIDNHE-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
37,2,Tier 2 — Consistent reversal,3,BRD-K89046952,ciclacillin,-2.431290,-66.946300,-78.140590,3,3,0,-49.172727,-66.946300,-78.140590,-90.000000,47,True,False,True,False,True,False,19003.000000,Cyclacillin,C15H23N3O4S,341.4,CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,"InChI=1S/C15H23N3O4S/c1-14(2)9(12(20)21)18-10(19)8(11(18)23-14)17-13(22)15(16)6-4-3-5-7-15/h8-9,11H,3-7,16H2,1-2H3,(H,17,22)(H,20,21)/t8-,9+,11-/m1/s1",HGBLNBBNRORJKI-WCABBAIRSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
38,2,Tier 2 — Consistent reversal,3,BRD-A17448384,beclometasone,-25.780113,-66.753970,-69.124970,3,3,0,-53.886351,-66.753970,-69.124970,-90.000000,48,True,False,True,False,True,False,20469.000000,Beclomethasone,C22H29ClO5,408.9,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C,"InChI=1S/C22H29ClO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15-,16-,17-,19-,20-,21-,22-/m0/s1",NBMKJKDGKREAPL-DVTGEIKXSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
39,2,Tier 2 — Consistent reversal,3,BRD-A94793051,gestrinone,-12.377667,-65.463090,-73.058800,3,3,0,-50.299852,-65.463090,-73.058800,-90.000000,49,True,False,True,False,True,False,27812.000000,Gestrinone,C21H24O2,308.4,CCC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(C#C)O,CC[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C#C)O,"InChI=1S/C21H24O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,9,11,13,18-19,23H,3,5-8,10,12H2,1H3/t18-,19+,20+,21+/m1/s1",BJJXHLWLUDYTGC-ANULTFPQSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
40,2,Tier 2 — Consistent reversal,3,BRD-K68558722,deracoxib,-0.105708,-65.361244,-67.604760,3,3,0,-44.357237,-65.361244,-67.604760,-90.000000,50,True,False,True,False,True,False,3058754.000000,Deracoxib,C17H14F3N3O3S,397.4,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F,"InChI=1S/C17H14F3N3O3S/c1-26-16-7-2-10(8-13(16)18)15-9-14(17(19)20)22-23(15)11-3-5-12(6-4-11)27(21,24)25/h2-9,17H,1H3,(H2,21,24,25)",WAZQAZKAZLXFMK-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
41,2,Tier 2 — Consistent reversal,3,BRD-K55591206,epigallocatechin-gallate-(-),-0.916138,-80.946304,-64.109695,3,3,0,-48.657379,-64.109695,-80.946304,-90.000000,51,True,False,True,False,True,False,65064.000000,Epigallocatechin Gallate,C22H18O11,458.4,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,"InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21-/m1/s1",WMBWREPUVVBILR-WIYYLYMNSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW
