priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status,fda_application_record_found,fda_label_record_found,clinical_trial_record_found,regulatory_evidence_category,clinical_evidence_level,manual_regulatory_review_required,canonical_smiles_pubchem,isomeric_smiles_pubchem,inchikey_pubchem,molecular_formula_pubchem,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions,pubchem_safety_annotation_found,hazard_statement_codes,severe_hazard_codes,high_concern_hazard_text_flag,pubchem_safety_annotation_text_chars,pains_evaluated,pains_flag,pains_filter_matches,safety_risk_score,safety_evidence_layers_n,safety_data_completeness,hard_safety_flag,translational_nonclinical_flag,safety_screening_recommendation,safety_screening_reasons
40,2,Tier 2 — Consistent reversal,3,BRD-K68558722,deracoxib,-0.105708,-65.361244,-67.60476,3,3,0,-44.357237,-65.361244,-67.60476,-90.0,50,True,False,True,False,True,False,3058754,Deracoxib,C17H14F3N3O3S,397.4,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F,"InChI=1S/C17H14F3N3O3S/c1-26-16-7-2-10(8-13(16)18)15-9-14(17(19)20)22-23(15)11-3-5-12(6-4-11)27(21,24)25/h2-9,17H,1H3,(H2,21,24,25)",WAZQAZKAZLXFMK-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F,WAZQAZKAZLXFMK-UHFFFAOYSA-N,C17H14F3N3O3S,,,,,,,,,,,True,H302 | H319,,False,7381,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
42,2,Tier 2 — Consistent reversal,3,BRD-K43164539,cholic-acid,-6.002546,-63.466003,-66.27359,3,3,0,-45.24738,-63.466003,-66.27359,-90.0,52,True,False,True,False,True,False,221493,Cholic Acid,C24H40O5,408.6,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,"InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1",BHQCQFFYRZLCQQ-OELDTZBJSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,True,False,True,FDA_APPLICATION_RECORD_FOUND,MODERATE_REGULATORY_EVIDENCE,True,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,BHQCQFFYRZLCQQ-OELDTZBJSA-N,C24H40O5,1106.0,12.0,557.0,6.0,569.0,0.0210896309314587,81.0,0.0,151306.0 | 227289.0 | 9971.0,NP_001070659 | Q80SS6 | Q8TDU6 | Q96RI1,True,H312 | H315 | H317 | H319,,False,32204,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,
45,2,Tier 2 — Consistent reversal,3,BRD-A20589515,dihydroxyphenylglycine,-76.079926,-61.77539,-36.63794,3,3,0,-58.164419,-61.77539,-76.079926,-90.0,55,True,False,True,False,True,False,443586,"(S)-3,5-Dihydroxyphenylglycine",C8H9NO4,183.16,C1=C(C=C(C=C1O)O)C(C(=O)O)N,C1=C(C=C(C=C1O)O)[C@@H](C(=O)O)N,"InChI=1S/C8H9NO4/c9-7(8(12)13)4-1-5(10)3-6(11)2-4/h1-3,7,10-11H,9H2,(H,12,13)/t7-/m0/s1",HOOWCUZPEFNHDT-ZETCQYMHSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=C(C=C(C=C1O)O)C(C(=O)O)N,C1=C(C=C(C=C1O)O)[C@@H](C(=O)O)N,HOOWCUZPEFNHDT-ZETCQYMHSA-N,C8H9NO4,,,,,,,,,,,False,,,False,0,True,False,,0,1,LIMITED,False,False,INSUFFICIENT_SAFETY_DATA,
46,2,Tier 2 — Consistent reversal,3,BRD-K37846922,"3,3'-diindolylmethane",-23.392363,-68.230576,-61.381847,3,3,0,-51.001595,-61.381847,-68.230576,-90.0,56,True,False,True,False,True,False,3071,"3,3'-Diindolylmethane",C17H14N2,246.31,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43,"InChI=1S/C17H14N2/c1-3-7-16-14(5-1)12(10-18-16)9-13-11-19-17-8-4-2-6-15(13)17/h1-8,10-11,18-19H,9H2",VFTRKSBEFQDZKX-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43,VFTRKSBEFQDZKX-UHFFFAOYSA-N,C17H14N2,,,,,,,,,,,True,H315 | H319 | H335 | H413,,False,8496,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
48,2,Tier 2 — Consistent reversal,3,BRD-K77998258,ganglioside,-2.325581,-60.84063,-79.385666,3,3,0,-47.517292,-60.84063,-79.385666,-90.0,58,True,False,True,False,True,False,163110884,Ganglioside,C59H108N2O22,1197.5,CCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)OC3(CC(C(C(O3)C(C(CO)OC)O)NC(=O)CO)O)C(=O)O)O)O)O)C(C=CCCCCCCCCCCC(C)C)O,CCCCCCCCCCCCCCCCC(=O)NC(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@@]3(C[C@@H]([C@H]([C@@H](O3)[C@H]([C@@H](CO)OC)O)NC(=O)CO)O)C(=O)O)O)O)O)C(/C=C/CCCCCCCCCCC(C)C)O,"InChI=1S/C59H108N2O22/c1-5-6-7-8-9-10-11-12-13-14-19-22-25-28-31-45(68)60-39(40(66)30-27-24-21-18-16-15-17-20-23-26-29-38(2)3)37-78-56-51(73)50(72)53(44(35-64)80-56)81-57-52(74)55(49(71)43(34-63)79-57)83-59(58(75)76)32-41(67)47(61-46(69)36-65)54(82-59)48(70)42(33-62)77-4/h27,30,38-44,47-57,62-67,70-74H,5-26,28-29,31-37H2,1-4H3,(H,60,68)(H,61,69)(H,75,76)/b30-27+/t39?,40?,41-,42+,43+,44+,47+,48-,49-,50+,51+,52+,53+,54+,55-,56+,57+,59-/m0/s1",LRIWIMRDAMRUIA-GZLXYUMQSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)OC3(CC(C(C(O3)C(C(CO)OC)O)NC(=O)CO)O)C(=O)O)O)O)O)C(C=CCCCCCCCCCCC(C)C)O,CCCCCCCCCCCCCCCCC(=O)NC(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@@]3(C[C@@H]([C@H]([C@@H](O3)[C@H]([C@@H](CO)OC)O)NC(=O)CO)O)C(=O)O)O)O)O)C(/C=C/CCCCCCCCCCC(C)C)O,LRIWIMRDAMRUIA-GZLXYUMQSA-N,C59H108N2O22,,,,,,,,,,,False,,,False,0,True,False,,0,1,LIMITED,False,False,INSUFFICIENT_SAFETY_DATA,
55,2,Tier 2 — Consistent reversal,3,BRD-K78838262,austricine,-0.895315,-78.11801,-59.665684,3,3,0,-46.226336,-59.665684,-78.11801,-90.0,65,True,False,True,False,True,False,6419904,Austricine,C15H20O5,280.32,CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)C)C)O.O,C[C@H]1[C@@H]2[C@H](CC(=C3C([C@H]2OC1=O)C(=CC3=O)C)C)O.O,"InChI=1S/C15H18O4.H2O/c1-6-4-10(17)13-8(3)15(18)19-14(13)12-7(2)5-9(16)11(6)12;/h5,8,10,12-14,17H,4H2,1-3H3;1H2/t8-,10-,12?,13+,14+;/m0./s1",ADUHAEBXPKBNDK-JYDSQBQOSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)C)C)O.O,C[C@H]1[C@@H]2[C@H](CC(=C3C([C@H]2OC1=O)C(=CC3=O)C)C)O.O,ADUHAEBXPKBNDK-JYDSQBQOSA-N,C15H20O5,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,False,,,False,0,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
60,2,Tier 2 — Consistent reversal,3,BRD-K28137194,loreclezole,-65.61892,-58.1252,-48.364,3,3,0,-57.369373,-58.1252,-65.61892,-90.0,70,True,False,True,False,True,False,3034012,Loreclezole,C10H6Cl3N3,274.5,C1=CC(=C(C=C1Cl)Cl)C(=CN2C=NC=N2)Cl,C1=CC(=C(C=C1Cl)Cl)/C(=C/N2C=NC=N2)/Cl,InChI=1S/C10H6Cl3N3/c11-7-1-2-8(9(12)3-7)10(13)4-16-6-14-5-15-16/h1-6H/b10-4-,XGLHZTBDUXXHOM-WMZJFQQLSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CC(=C(C=C1Cl)Cl)C(=CN2C=NC=N2)Cl,C1=CC(=C(C=C1Cl)Cl)/C(=C/N2C=NC=N2)/Cl,XGLHZTBDUXXHOM-WMZJFQQLSA-N,C10H6Cl3N3,,,,,,,,,,,False,,,False,0,True,False,,0,1,LIMITED,False,False,INSUFFICIENT_SAFETY_DATA,
61,2,Tier 2 — Consistent reversal,3,BRD-K11107424,tiotidine,-3.488372,-58.090363,-64.5474,3,3,0,-42.042045,-58.090363,-64.5474,-90.0,71,True,False,True,False,True,False,50287,Tiotidine,C10H16N8S2,312.4,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,"InChI=1S/C10H16N8S2/c1-14-9(16-6-11)15-2-3-19-4-7-5-20-10(17-7)18-8(12)13/h5H,2-4H2,1H3,(H2,14,15,16)(H4,12,13,17,18)",YDDXVAXDYKBWDX-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N,YDDXVAXDYKBWDX-UHFFFAOYSA-N,C10H16N8S2,732.0,21.0,627.0,26.0,648.0,0.0324074074074074,81.0,0.0,100729734.0 | 1551.0 | 1565.0 | 1576.0 | 1813.0 | 3274.0,AAH21195 | ABI96208 | ANW61984 | NP_000097 | NP_000756 | NP_001020332 | NP_001124527 | NP_037097 | NP_059488 | P25021 | P47747,False,,,False,0,True,False,,0,3,GOOD,False,False,PASS_PRELIMINARY_SCREEN,
64,2,Tier 2 — Consistent reversal,3,BRD-K06878038,deferiprone,-4.720983,-60.271294,-57.334846,3,3,0,-40.775708,-57.334846,-60.271294,-90.0,74,True,False,True,False,True,False,2972,Deferiprone,C7H9NO2,139.15,CC1=C(C(=O)C=CN1C)O,CC1=C(C(=O)C=CN1C)O,"InChI=1S/C7H9NO2/c1-5-7(10)6(9)3-4-8(5)2/h3-4,10H,1-2H3",TZXKOCQBRNJULO-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,True,True,FDA_LABEL_EVIDENCE_FOUND,MODERATE_REGULATORY_EVIDENCE,True,CC1=C(C(=O)C=CN1C)O,CC1=C(C(=O)C=CN1C)O,TZXKOCQBRNJULO-UHFFFAOYSA-N,C7H9NO2,,,,,,,,,,,True,H302 | H315 | H319 | H335,,False,34948,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
68,2,Tier 2 — Consistent reversal,3,BRD-K99107520,felbamate,-1.338971,-84.81013,-56.04811,3,3,0,-47.39907,-56.04811,-84.81013,-90.0,78,True,False,True,False,True,False,3331,Felbamate,C11H14N2O4,238.24,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,"InChI=1S/C11H14N2O4/c12-10(14)16-6-9(7-17-11(13)15)8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H2,12,14)(H2,13,15)",WKGXYQFOCVYPAC-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,True,True,FDA_LABEL_EVIDENCE_FOUND,MODERATE_REGULATORY_EVIDENCE,True,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,WKGXYQFOCVYPAC-UHFFFAOYSA-N,C11H14N2O4,,,,,,,,,,,True,H317 | H334,,False,10094,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
73,2,Tier 2 — Consistent reversal,3,BRD-K34098590,tienilic-acid,-25.508522,-85.91019,-54.838802,3,3,0,-55.419171,-54.838802,-85.91019,-90.0,83,True,False,True,False,True,False,38409,Tienilic Acid,C13H8Cl2O4S,331.2,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,"InChI=1S/C13H8Cl2O4S/c14-11-7(13(18)9-2-1-5-20-9)3-4-8(12(11)15)19-6-10(16)17/h1-5H,6H2,(H,16,17)",AGHANLSBXUWXTB-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,AGHANLSBXUWXTB-UHFFFAOYSA-N,C13H8Cl2O4S,,,,,,,,,,,True,H302 | H315 | H319 | H335,,False,6984,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
80,2,Tier 2 — Consistent reversal,3,BRD-K67439147,SIB-1893,-63.677235,-52.95844,-41.334583,3,3,0,-52.656753,-52.95844,-63.677235,-90.0,90,True,False,True,False,True,False,5311432,Sib 1893,C14H13N,195.26,CC1=NC(=CC=C1)C=CC2=CC=CC=C2,CC1=NC(=CC=C1)/C=C/C2=CC=CC=C2,"InChI=1S/C14H13N/c1-12-6-5-9-14(15-12)11-10-13-7-3-2-4-8-13/h2-11H,1H3/b11-10+",SISOFUCTXZKSOQ-ZHACJKMWSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC1=NC(=CC=C1)C=CC2=CC=CC=C2,CC1=NC(=CC=C1)/C=C/C2=CC=CC=C2,SISOFUCTXZKSOQ-ZHACJKMWSA-N,C14H13N,606.0,25.0,515.0,44.0,540.0,0.0462962962962962,70.0,0.0,10013.0 | 116160065.0 | 181263.0 | 20586.0 | 2101.0 | 24418.0 | 28989.0 | 2915.0 | 4864.0 | 79915.0 | 9367.0,AAH15051 | ADZ17378 | NP_000262 | NP_001024547 | NP_001137303 | NP_001167549 | NP_001243743 | NP_004242 | P08659 | P31424 | P41594 | Q9BV86 | Q9UBN7,True,H315 | H319 | H335,,False,6614,True,False,,0,4,GOOD,False,False,PASS_PRELIMINARY_SCREEN,
86,2,Tier 2 — Consistent reversal,3,BRD-K61217870,N-(3-acetamidophenyl)-3-chlorobenzamide,-3.206483,-68.56732,-50.3071,3,3,0,-40.693634,-50.3071,-68.56732,-90.0,96,True,False,True,False,True,False,669190,N-(3-acetamidophenyl)-3-chlorobenzamide,C15H13ClN2O2,288.73,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)Cl,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)Cl,"InChI=1S/C15H13ClN2O2/c1-10(19)17-13-6-3-7-14(9-13)18-15(20)11-4-2-5-12(16)8-11/h2-9H,1H3,(H,17,19)(H,18,20)",XZMOBKLRYXTSSS-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)Cl,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC(=CC=C2)Cl,XZMOBKLRYXTSSS-UHFFFAOYSA-N,C15H13ClN2O2,233.0,1.0,229.0,2.0,230.0,0.0043478260869565,7.0,0.0,24418.0,P31424,False,,,False,0,True,False,,0,3,GOOD,False,False,PASS_PRELIMINARY_SCREEN,
88,2,Tier 2 — Consistent reversal,3,BRD-K98769987,flumazenil,-1.057082,-56.787212,-50.033222,3,3,0,-35.959172,-50.033222,-56.787212,-90.0,98,True,False,True,False,True,False,3373,Flumazenil,C15H14FN3O3,303.29,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,"InChI=1S/C15H14FN3O3/c1-3-22-15(21)13-12-7-18(2)14(20)10-6-9(16)4-5-11(10)19(12)8-17-13/h4-6,8H,3,7H2,1-2H3",OFBIFZUFASYYRE-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,True,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,OFBIFZUFASYYRE-UHFFFAOYSA-N,C15H14FN3O3,,,,,,,,,,,True,H302 | H332,,False,6244,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
89,2,Tier 2 — Consistent reversal,3,BRD-K64835161,ML-167,-54.915535,-49.800385,-30.28062,3,3,0,-44.998847,-49.800385,-54.915535,-90.0,99,True,False,True,False,True,False,44968231,(5-(4-(((5-Methylfuran-2-yl)methyl)amino)quinazolin-6-yl)furan-2-yl)methanol,C19H17N3O3,335.4,CC1=CC=C(O1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC=C(O4)CO,CC1=CC=C(O1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC=C(O4)CO,"InChI=1S/C19H17N3O3/c1-12-2-4-14(24-12)9-20-19-16-8-13(3-6-17(16)21-11-22-19)18-7-5-15(10-23)25-18/h2-8,11,23H,9-10H2,1H3,(H,20,21,22)",ROCFOIBAEVAOLQ-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC1=CC=C(O1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC=C(O4)CO,CC1=CC=C(O1)CNC2=NC=NC3=C2C=C(C=C3)C4=CC=C(O4)CO,ROCFOIBAEVAOLQ-UHFFFAOYSA-N,C19H17N3O3,,,,,,,,,,,True,H302,,False,5225,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
91,2,Tier 2 — Consistent reversal,3,BRD-K84266862,BRL-50481,-4.510219,-49.73297,-72.24362,3,3,0,-42.16227,-49.73297,-72.24362,-90.0,101,True,False,True,False,True,False,2921148,"N,N,2-trimethyl-5-nitrobenzenesulfonamide",C9H12N2O4S,244.27,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)C,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)C,"InChI=1S/C9H12N2O4S/c1-7-4-5-8(11(12)13)6-9(7)16(14,15)10(2)3/h4-6H,1-3H3",IFIUFCJFLGCQPH-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)C,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)C,IFIUFCJFLGCQPH-UHFFFAOYSA-N,C9H12N2O4S,,,,,,,,,,,False,,,False,0,True,False,,0,1,LIMITED,False,False,INSUFFICIENT_SAFETY_DATA,
95,2,Tier 2 — Consistent reversal,3,BRD-K45446451,JZL-184,-48.52777,-44.27649,-72.79177,3,3,0,-55.198677,-48.52777,-72.79177,-90.0,105,True,False,True,False,True,False,25021165,Jzl184,C27H24N2O9,520.5,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC6=CC=C(C=C6)[N+](=O)[O-],C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC6=CC=C(C=C6)[N+](=O)[O-],"InChI=1S/C27H24N2O9/c30-26(38-21-5-3-20(4-6-21)29(32)33)28-11-9-17(10-12-28)27(31,18-1-7-22-24(13-18)36-15-34-22)19-2-8-23-25(14-19)37-16-35-23/h1-8,13-14,17,31H,9-12,15-16H2",SEGYOKHGGFKMCX-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC6=CC=C(C=C6)[N+](=O)[O-],C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC6=CC=C(C=C6)[N+](=O)[O-],SEGYOKHGGFKMCX-UHFFFAOYSA-N,C27H24N2O9,,,,,,,,,,,False,,,False,0,True,False,,0,1,LIMITED,False,False,INSUFFICIENT_SAFETY_DATA,
96,2,Tier 2 — Consistent reversal,3,BRD-K56596464,QX-314,-22.732267,-60.439064,-48.51338,3,3,0,-43.894904,-48.51338,-60.439064,-90.0,106,True,False,True,False,True,False,3925,"2-((2,6-Dimethylphenyl)amino)-N,N,N-triethyl-2-oxoethanaminium",C16H27N2O+,263.4,CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C,CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C,"InChI=1S/C16H26N2O/c1-6-18(7-2,8-3)12-15(19)17-16-13(4)10-9-11-14(16)5/h9-11H,6-8,12H2,1-5H3/p+1",PYEBKOFMWAMBFV-UHFFFAOYSA-O,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,False,False,False,NO_US_REGULATORY_OR_TRIAL_EVIDENCE_FOUND,UNRESOLVED,True,CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C,CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C,PYEBKOFMWAMBFV-UHFFFAOYSA-O,C16H27N2O+,,,,,,,,,,,True,H315 | H319 | H335,,False,6682,True,False,,0,2,LIMITED,False,False,PASS_PRELIMINARY_SCREEN,
